"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
136,1706872224.975031,1706872224.975031,UDP,10.10.1.9,47385.0,10.10.1.6,53.0,,,,,
137,1706872229.9766853,1706872229.9766853,UDP,10.10.1.9,54856.0,10.10.1.4,53.0,,,,1.0,1.0
138,1706872229.9839754,1706872229.9839754,UDP,10.10.1.4,53.0,10.10.1.9,54856.0,,,,1.0,1.0
139,1706872229.98404,1706872229.98404,UDP,10.10.1.9,55325.0,10.10.1.6,53.0,,,,,
140,1706872234.9890852,1706872234.9890852,UDP,10.10.1.9,44354.0,10.10.1.4,53.0,,,,1.0,1.0
141,1706872234.9923053,1706872234.9923053,UDP,10.10.1.4,53.0,10.10.1.9,44354.0,,,,1.0,1.0
142,1706872234.992518,1706872234.992518,UDP,10.10.1.9,39239.0,10.10.1.6,53.0,,,,,
143,1706872239.9975667,1706872239.9975667,UDP,10.10.1.9,38126.0,10.10.1.4,53.0,,,,1.0,1.0
144,1706872240.0009022,1706872240.0009022,UDP,10.10.1.4,53.0,10.10.1.9,38126.0,,,,1.0,1.0
145,1706872240.000978,1706872240.000978,UDP,10.10.1.9,50356.0,10.10.1.6,53.0,,,,,
146,1706872245.0060244,1706872245.0060244,UDP,10.10.1.9,49370.0,10.10.1.4,53.0,,,,1.0,1.0
147,1706872245.0087385,1706872245.0087385,UDP,10.10.1.4,53.0,10.10.1.9,49370.0,,,,1.0,1.0
148,1706872245.0088089,1706872245.0088089,UDP,10.10.1.9,60997.0,10.10.1.6,53.0,,,,,
149,1706872250.0138583,1706872250.0138583,UDP,10.10.1.9,54223.0,10.10.1.4,53.0,,,,1.0,1.0
150,1706872250.0172794,1706872250.0172794,UDP,10.10.1.4,53.0,10.10.1.9,54223.0,,,,1.0,1.0
151,1706872250.0173457,1706872250.0173457,UDP,10.10.1.9,43666.0,10.10.1.6,53.0,,,,,
152,1706872255.0224009,1706872255.0224009,UDP,10.10.1.9,48088.0,10.10.1.4,53.0,,,,1.0,1.0
153,1706872255.027006,1706872255.027006,UDP,10.10.1.4,53.0,10.10.1.9,48088.0,,,,1.0,1.0
154,1706872255.0272815,1706872255.0272815,UDP,10.10.1.9,45607.0,10.10.1.6,53.0,,,,,
155,1706872260.0323317,1706872260.0323317,UDP,10.10.1.9,59480.0,10.10.1.4,53.0,,,,1.0,1.0
156,1706872260.035575,1706872260.035575,UDP,10.10.1.4,53.0,10.10.1.9,59480.0,,,,1.0,1.0
157,1706872260.035646,1706872260.035646,UDP,10.10.1.9,49258.0,10.10.1.6,53.0,,,,,
158,1706872265.040701,1706872265.040701,UDP,10.10.1.9,58203.0,10.10.1.4,53.0,,,,1.0,1.0
159,1706872265.0436728,1706872265.0436728,UDP,10.10.1.4,53.0,10.10.1.9,58203.0,,,,1.0,1.0
160,1706872265.043752,1706872265.043752,UDP,10.10.1.9,40651.0,10.10.1.6,53.0,,,,,
161,1706872270.048803,1706872270.048803,UDP,10.10.1.9,59828.0,10.10.1.4,53.0,,,,1.0,1.0
162,1706872270.052117,1706872270.052117,UDP,10.10.1.4,53.0,10.10.1.9,59828.0,,,,1.0,1.0
163,1706872270.0521832,1706872270.0521832,UDP,10.10.1.9,37439.0,10.10.1.6,53.0,,,,,
164,1706872275.0572357,1706872275.0572357,UDP,10.10.1.9,36469.0,10.10.1.4,53.0,,,,1.0,1.0
165,1706872275.0606232,1706872275.0606232,UDP,10.10.1.4,53.0,10.10.1.9,36469.0,,,,1.0,1.0
166,1706872275.0608375,1706872275.0608375,UDP,10.10.1.9,37028.0,10.10.1.6,53.0,,,,,
167,1706872280.0658877,1706872280.0658877,UDP,10.10.1.9,53965.0,10.10.1.4,53.0,,,,1.0,1.0
168,1706872280.0706236,1706872280.0706236,UDP,10.10.1.4,53.0,10.10.1.9,53965.0,,,,1.0,1.0
169,1706872280.0707033,1706872280.0707033,UDP,10.10.1.9,50363.0,10.10.1.6,53.0,,,,,
170,1706872261.229359,1706872281.2550457,UDP,10.10.1.9,47040.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
171,1706872285.0757551,1706872285.0757551,UDP,10.10.1.9,51276.0,10.10.1.4,53.0,,,,1.0,1.0
172,1706872285.0790553,1706872285.0790553,UDP,10.10.1.4,53.0,10.10.1.9,51276.0,,,,1.0,1.0
173,1706872285.0791264,1706872285.0791264,UDP,10.10.1.9,43584.0,10.10.1.6,53.0,,,,,
174,1706872290.084175,1706872290.084175,UDP,10.10.1.9,37272.0,10.10.1.4,53.0,,,,1.0,1.0
175,1706872290.087649,1706872290.087649,UDP,10.10.1.4,53.0,10.10.1.9,37272.0,,,,1.0,1.0
176,1706872290.0877151,1706872290.0877151,UDP,10.10.1.9,44335.0,10.10.1.6,53.0,,,,,
177,1706872295.092765,1706872295.092765,UDP,10.10.1.9,39347.0,10.10.1.4,53.0,,,,1.0,1.0
178,1706872295.09629,1706872295.09629,UDP,10.10.1.4,53.0,10.10.1.9,39347.0,,,,1.0,1.0
179,1706872295.096675,1706872295.096675,UDP,10.10.1.9,42984.0,10.10.1.6,53.0,,,,,
180,1706872300.1017275,1706872300.1017275,UDP,10.10.1.9,49743.0,10.10.1.4,53.0,,,,1.0,1.0
181,1706872300.10427,1706872300.10427,UDP,10.10.1.4,53.0,10.10.1.9,49743.0,,,,1.0,1.0
182,1706872300.1043448,1706872300.1043448,UDP,10.10.1.9,46486.0,10.10.1.6,53.0,,,,,
183,1706872305.1093953,1706872305.1093953,UDP,10.10.1.9,39480.0,10.10.1.4,53.0,,,,1.0,1.0
184,1706872305.1136627,1706872305.1136627,UDP,10.10.1.4,53.0,10.10.1.9,39480.0,,,,1.0,1.0
185,1706872305.1137352,1706872305.1137352,UDP,10.10.1.9,54366.0,10.10.1.6,53.0,,,,,
186,1706872310.118785,1706872310.118785,UDP,10.10.1.9,53267.0,10.10.1.4,53.0,,,,1.0,1.0
187,1706872310.1238368,1706872310.1238368,UDP,10.10.1.4,53.0,10.10.1.9,53267.0,,,,1.0,1.0
188,1706872310.123905,1706872310.123905,UDP,10.10.1.9,45435.0,10.10.1.6,53.0,,,,,
189,1706872315.1289573,1706872315.1289573,UDP,10.10.1.9,39520.0,10.10.1.4,53.0,,,,1.0,1.0
190,1706872315.1316605,1706872315.1316605,UDP,10.10.1.4,53.0,10.10.1.9,39520.0,,,,1.0,1.0
191,1706872315.1326275,1706872315.1326275,UDP,10.10.1.9,42259.0,10.10.1.6,53.0,,,,,
192,1706872320.137682,1706872320.137682,UDP,10.10.1.9,38027.0,10.10.1.4,53.0,,,,1.0,1.0
193,1706872320.1415489,1706872320.1415489,UDP,10.10.1.4,53.0,10.10.1.9,38027.0,,,,1.0,1.0
194,1706872320.141615,1706872320.141615,UDP,10.10.1.9,40182.0,10.10.1.6,53.0,,,,,
195,1706872325.1466615,1706872325.1466615,UDP,10.10.1.9,50476.0,10.10.1.4,53.0,,,,1.0,1.0
196,1706872325.151202,1706872325.151202,UDP,10.10.1.4,53.0,10.10.1.9,50476.0,,,,1.0,1.0
197,1706872325.1512716,1706872325.1512716,UDP,10.10.1.9,33471.0,10.10.1.6,53.0,,,,,
198,1706872330.1563203,1706872330.1563203,UDP,10.10.1.9,47202.0,10.10.1.4,53.0,,,,1.0,1.0
199,1706872330.1583943,1706872330.1583943,UDP,10.10.1.4,53.0,10.10.1.9,47202.0,,,,1.0,1.0
200,1706872330.15846,1706872330.15846,UDP,10.10.1.9,38078.0,10.10.1.6,53.0,,,,,
201,1706872335.1635163,1706872335.1635163,UDP,10.10.1.9,38221.0,10.10.1.4,53.0,,,,1.0,1.0
202,1706872335.166669,1706872335.166669,UDP,10.10.1.4,53.0,10.10.1.9,38221.0,,,,1.0,1.0
203,1706872335.16685,1706872335.16685,UDP,10.10.1.9,39920.0,10.10.1.6,53.0,,,,,
204,1706872340.1681728,1706872340.1681728,UDP,10.10.1.9,34787.0,10.10.1.4,53.0,,,,1.0,1.0
205,1706872340.1723926,1706872340.1723926,UDP,10.10.1.4,53.0,10.10.1.9,34787.0,,,,1.0,1.0
206,1706872340.1724548,1706872340.1724548,UDP,10.10.1.9,33464.0,10.10.1.6,53.0,,,,,
207,1706872321.3447068,1706872341.3696244,UDP,10.10.1.9,60846.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
208,1706872345.1775055,1706872345.1775055,UDP,10.10.1.9,35059.0,10.10.1.4,53.0,,,,1.0,1.0
209,1706872345.1830535,1706872345.1830535,UDP,10.10.1.4,53.0,10.10.1.9,35059.0,,,,1.0,1.0
210,1706872345.1831284,1706872345.1831284,UDP,10.10.1.9,48284.0,10.10.1.6,53.0,,,,,
211,1706872350.1881764,1706872350.1881764,UDP,10.10.1.9,52115.0,10.10.1.4,53.0,,,,1.0,1.0
212,1706872350.1910572,1706872350.1910572,UDP,10.10.1.4,53.0,10.10.1.9,52115.0,,,,1.0,1.0
213,1706872350.1911235,1706872350.1911235,UDP,10.10.1.9,57874.0,10.10.1.6,53.0,,,,,
214,1706872355.196173,1706872355.196173,UDP,10.10.1.9,48112.0,10.10.1.4,53.0,,,,1.0,1.0
215,1706872355.1987329,1706872355.1987329,UDP,10.10.1.4,53.0,10.10.1.9,48112.0,,,,1.0,1.0
216,1706872355.198897,1706872355.198897,UDP,10.10.1.9,43815.0,10.10.1.6,53.0,,,,,
217,1706872360.2039497,1706872360.2039497,UDP,10.10.1.9,50919.0,10.10.1.4,53.0,,,,1.0,1.0
218,1706872360.208094,1706872360.208094,UDP,10.10.1.4,53.0,10.10.1.9,50919.0,,,,1.0,1.0
219,1706872360.2081645,1706872360.2081645,UDP,10.10.1.9,47839.0,10.10.1.6,53.0,,,,,
220,1706872365.2132185,1706872365.2132185,UDP,10.10.1.9,58108.0,10.10.1.4,53.0,,,,1.0,1.0
221,1706872365.2163684,1706872365.2163684,UDP,10.10.1.4,53.0,10.10.1.9,58108.0,,,,1.0,1.0
222,1706872365.2164404,1706872365.2164404,UDP,10.10.1.9,56556.0,10.10.1.6,53.0,,,,,
223,1706872370.2214904,1706872370.2214904,UDP,10.10.1.9,56525.0,10.10.1.4,53.0,,,,1.0,1.0
224,1706872370.224158,1706872370.224158,UDP,10.10.1.4,53.0,10.10.1.9,56525.0,,,,1.0,1.0
225,1706872370.224224,1706872370.224224,UDP,10.10.1.9,43028.0,10.10.1.6,53.0,,,,,
226,1706872375.229272,1706872375.229272,UDP,10.10.1.9,37404.0,10.10.1.4,53.0,,,,1.0,1.0
227,1706872375.2326632,1706872375.2326632,UDP,10.10.1.4,53.0,10.10.1.9,37404.0,,,,1.0,1.0
