Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
85.0,169,1715337658.923142,1715337658.923142,UDP,100.100.1.1,53,10.0.2.15,45082,,L,,0.0,0.0
,170,1715337659.046741,1715337659.046741,UDP,10.0.2.15,49620,100.100.1.1,53,,,,,
86.0,171,1715337659.084028,1715337659.084028,UDP,100.100.1.1,53,10.0.2.15,49620,,L,,0.0,0.0
,172,1715337659.66763,1715337659.66763,UDP,10.0.2.15,34757,100.100.1.1,53,,,,,
87.0,173,1715337659.688859,1715337659.688859,UDP,100.100.1.1,53,10.0.2.15,34757,,L,,0.0,0.0
,174,1715337694.277091,1715337694.277091,UDP,10.0.2.15,57227,100.100.1.1,53,,,,,
88.0,175,1715337694.375059,1715337694.375059,UDP,100.100.1.1,53,10.0.2.15,57227,,L,,0.0,0.0
,176,1715337694.27753,1715337694.27753,UDP,10.0.2.15,38110,100.100.1.1,53,,,,,
89.0,177,1715337694.375059,1715337694.375059,UDP,100.100.1.1,53,10.0.2.15,38110,,L,,0.0,0.0
,178,1715337694.375992,1715337694.375992,UDP,10.0.2.15,47434,100.100.1.1,53,,,,,
90.0,179,1715337694.422733,1715337694.422733,UDP,100.100.1.1,53,10.0.2.15,47434,,L,,0.0,0.0
,180,1715337696.156853,1715337696.156853,UDP,10.0.2.15,42010,150.214.5.121,123,,,,,
91.0,181,1715337696.185946,1715337696.185946,UDP,150.214.5.121,123,10.0.2.15,42010,,L,,0.0,0.0
,182,1715337696.932897,1715337696.932897,UDP,10.0.2.15,38169,100.100.1.1,53,,,,,
92.0,183,1715337697.010356,1715337697.010356,UDP,100.100.1.1,53,10.0.2.15,38169,,L,,0.0,0.0
,184,1715337696.934092,1715337696.934092,UDP,10.0.2.15,51082,100.100.1.1,53,,,,,
93.0,185,1715337697.010356,1715337697.010356,UDP,100.100.1.1,53,10.0.2.15,51082,,L,,0.0,0.0
,186,1715337696.968107,1715337696.968107,UDP,10.0.2.15,44061,100.100.1.1,53,,,,,
94.0,187,1715337697.011102,1715337697.011102,UDP,100.100.1.1,53,10.0.2.15,44061,,L,,0.0,0.0
,188,1715337696.968298,1715337696.968298,UDP,10.0.2.15,48999,100.100.1.1,53,,,,,
95.0,189,1715337697.010356,1715337697.010356,UDP,100.100.1.1,53,10.0.2.15,48999,,L,,0.0,0.0
,190,1715337696.975465,1715337696.975465,UDP,10.0.2.15,59935,100.100.1.1,53,,,,,
96.0,191,1715337697.017338,1715337697.017338,UDP,100.100.1.1,53,10.0.2.15,59935,,L,,0.0,0.0
,192,1715337696.97564,1715337696.97564,UDP,10.0.2.15,57326,100.100.1.1,53,,,,,
97.0,193,1715337697.011102,1715337697.011102,UDP,100.100.1.1,53,10.0.2.15,57326,,L,,0.0,0.0
,194,1715337696.977857,1715337696.977857,UDP,10.0.2.15,33295,100.100.1.1,53,,,,,
98.0,195,1715337697.011102,1715337697.011102,UDP,100.100.1.1,53,10.0.2.15,33295,,L,,0.0,0.0
,196,1715337696.978146,1715337696.978146,UDP,10.0.2.15,37049,100.100.1.1,53,,,,,
99.0,197,1715337697.053273,1715337697.053273,UDP,100.100.1.1,53,10.0.2.15,37049,,L,,0.0,0.0
,198,1715337697.233622,1715337697.641995,UDP,10.0.2.15,41549,142.250.184.164,443,,,,,
