Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
166,1654970473.6176944,1654970473.8627343,TCP,192.168.2.2,80,192.168.1.3,40650,,,,,
167,1654970473.620123,1654970473.9075325,TCP,192.168.1.3,40652,192.168.2.2,80,,P,T1595.086,,
168,1654970473.620386,1654970473.9077964,TCP,192.168.2.2,80,192.168.1.3,40652,,,,,
169,1654970473.6331067,1654970473.909989,TCP,192.168.1.3,40654,192.168.2.2,80,,P,T1595.087,,
170,1654970473.6334743,1654970473.9102983,TCP,192.168.2.2,80,192.168.1.3,40654,,,,,
171,1654970473.7197633,1654970473.9878862,TCP,192.168.1.3,40664,192.168.2.2,80,,P,T1595.088,,
172,1654970473.7199817,1654970473.9883647,TCP,192.168.2.2,80,192.168.1.3,40664,,,,,
173,1654970473.734586,1654970473.9880817,TCP,192.168.1.3,40670,192.168.2.2,80,,P,T1595.089,,
174,1654970473.7348638,1654970473.9885533,TCP,192.168.2.2,80,192.168.1.3,40670,,,,,
175,1654970473.728778,1654970474.0052223,TCP,192.168.1.3,40668,192.168.2.2,80,,P,T1595.090,,
176,1654970473.7290456,1654970474.0055518,TCP,192.168.2.2,80,192.168.1.3,40668,,,,,
177,1654970473.6762917,1654970474.008047,TCP,192.168.1.3,40658,192.168.2.2,80,,P,T1595.091,,
178,1654970473.6769977,1654970474.0084224,TCP,192.168.2.2,80,192.168.1.3,40658,,,,,
179,1654970473.6749706,1654970474.024708,TCP,192.168.1.3,40656,192.168.2.2,80,,P,T1595.092,,
180,1654970473.6752377,1654970474.025035,TCP,192.168.2.2,80,192.168.1.3,40656,,,,,
181,1654970473.7425096,1654970474.0276525,TCP,192.168.1.3,40674,192.168.2.2,80,,P,T1595.093,,
182,1654970473.7427256,1654970474.0280535,TCP,192.168.2.2,80,192.168.1.3,40674,,,,,
183,1654970473.7139628,1654970474.0295854,TCP,192.168.1.3,40662,192.168.2.2,80,,P,T1595.094,,
184,1654970473.7156568,1654970474.0299315,TCP,192.168.2.2,80,192.168.1.3,40662,,,,,
185,1654970473.7217772,1654970474.0345018,TCP,192.168.1.3,40666,192.168.2.2,80,,P,T1595.095,,
186,1654970473.7220469,1654970474.034798,TCP,192.168.2.2,80,192.168.1.3,40666,,,,,
187,1654970473.7139626,1654970474.040262,TCP,192.168.1.3,40660,192.168.2.2,80,,P,T1595.096,,
188,1654970473.7156522,1654970474.04067,TCP,192.168.2.2,80,192.168.1.3,40660,,,,,
189,1654970473.7944927,1654970474.0570133,TCP,192.168.1.3,40680,192.168.2.2,80,,P,T1595.097,,
190,1654970473.7948632,1654970474.0575695,TCP,192.168.2.2,80,192.168.1.3,40680,,,,,
191,1654970473.7705884,1654970474.0597725,TCP,192.168.1.3,40676,192.168.2.2,80,,P,T1595.098,,
192,1654970473.7708192,1654970474.0599167,TCP,192.168.2.2,80,192.168.1.3,40676,,,,,
193,1654970473.7783537,1654970474.0705605,TCP,192.168.1.3,40678,192.168.2.2,80,,P,T1595.099,,
194,1654970473.7786608,1654970474.0709434,TCP,192.168.2.2,80,192.168.1.3,40678,,,,,
195,1654970473.8359847,1654970474.2169335,TCP,192.168.1.3,40682,192.168.2.2,80,,P,T1595.100,,
196,1654970473.8367715,1654970474.2173567,TCP,192.168.2.2,80,192.168.1.3,40682,,,,,
197,1654970473.862274,1654970474.2299,TCP,192.168.1.3,40684,192.168.2.2,80,,P,T1595.101,,
198,1654970473.8627431,1654970474.2302248,TCP,192.168.2.2,80,192.168.1.3,40684,,,,,
199,1654970473.9077573,1654970474.2530584,TCP,192.168.1.3,40688,192.168.2.2,80,,P,T1595.102,,
200,1654970473.9080727,1654970474.253298,TCP,192.168.2.2,80,192.168.1.3,40688,,,,,
201,1654970474.0053935,1654970474.2843697,TCP,192.168.1.3,40696,192.168.2.2,80,,P,T1595.103,,
202,1654970474.005696,1654970474.2846014,TCP,192.168.2.2,80,192.168.1.3,40696,,,,,
203,1654970473.9884,1654970474.289174,TCP,192.168.1.3,40694,192.168.2.2,80,,P,T1595.104,,
204,1654970473.9892037,1654970474.2894475,TCP,192.168.2.2,80,192.168.1.3,40694,,,,,
205,1654970474.0278375,1654970474.306667,TCP,192.168.1.3,40702,192.168.2.2,80,,P,T1595.105,,
206,1654970474.0281413,1654970474.3068304,TCP,192.168.2.2,80,192.168.1.3,40702,,,,,
207,1654970474.0297732,1654970474.3076715,TCP,192.168.1.3,40704,192.168.2.2,80,,P,T1595.106,,
208,1654970474.0304585,1654970474.307854,TCP,192.168.2.2,80,192.168.1.3,40704,,,,,
209,1654970474.0346315,1654970474.318385,TCP,192.168.1.3,40706,192.168.2.2,80,,P,T1595.107,,
210,1654970474.034973,1654970474.3186395,TCP,192.168.2.2,80,192.168.1.3,40706,,,,,
211,1654970473.909989,1654970474.321292,TCP,192.168.1.3,40690,192.168.2.2,80,,P,T1595.108,,
212,1654970473.910308,1654970474.3215103,TCP,192.168.2.2,80,192.168.1.3,40690,,,,,
